Seconds,Load Cell,206 Ch1,206 Ch2,207 Ch1,207 Ch2,Actuator Enc,Mirror Enc
0.14100000000325963,228.22372436523438,-5933610,-8124645,2520690,-613874,134.4994,89.24739500000001
0.2970000000059372,222.69485473632812,-5896506,-8125924,2617179,-489312,134.49941,89.247405
0.4529999999940628,217.74884033203125,-5864229,-8102157,2677538,-455774,134.4994,89.247415
0.6100000000005821,212.1436767578125,-5847535,-8079668,2766343,-431412,134.49942000000001,89.24743500000001
0.7660000000032596,207.0869140625,-5815225,-8092352,2868300,-337085,134.49943000000002,89.24745
0.9220000000059372,202.05349731445312,-5799356,-8082149,2954066,-242018,134.499425,89.24746
1.0779999999940628,196.77334594726562,-5774623,-8068009,3031851,-183828,134.49944000000002,89.24747500000001
1.2189999999973224,191.6746826171875,-5753929,-8031228,3142148,-90101,134.49946,89.247495
1.375,186.28369140625,-5736566,-8010473,3232206,18713,134.49946,89.247505
1.5310000000026776,181.45245361328125,-5713133,-7990201,3312881,72788,134.49947,89.247515
1.687999999994645,176.2025146484375,-5688570,-7973976,3425243,173983,134.49948,89.247545
1.8279999999940628,170.854736328125,-5677335,-7937983,3509992,280332,134.49949,89.24755
1.985000000000582,165.316162109375,-5635165,-7897480,3578731,321684,134.49951000000001,89.24757000000001
2.1410000000032596,160.48971557617188,-5605994,-7867996,3677090,356634,134.49953000000002,89.247585
2.297000000005937,155.48553466796875,-5576287,-7857981,3730218,462130,134.49953000000002,89.247585
2.452999999994063,150.25082397460938,-5557039,-7874286,3827942,552037,134.49954000000002,89.24761000000001
2.610000000000582,145.30181884765625,-5522450,-7854865,3924499,601128,134.499545,89.24763
2.7810000000026776,139.16983032226562,-5494420,-7846744,4018103,711069,134.49955,89.24763
2.922000000005937,134.934326171875,-5474868,-7831344,4103051,787692,134.49957,89.24766500000001
3.0939999999973224,129.42599487304688,-5444813,-7800147,4195737,839518,134.49957500000002,89.247675
3.25,123.86660766601562,-5416543,-7773473,4258927,924118,134.49959,89.247685
3.4060000000026776,118.52859497070312,-5390216,-7755996,4358021,1031804,134.499605,89.24769500000001
3.547000000005937,113.50909423828125,-5363784,-7722143,4438928,1094553,134.49961000000002,89.24771000000001
3.702999999994063,108.70278930664062,-5339161,-7707855,4498654,1164677,134.499625,89.24774000000001
3.860000000000582,103.64666748046875,-5314921,-7683576,4590095,1282548,134.499625,89.24774500000001
4.01600000000326,98.80096435546875,-5294619,-7688122,4657614,1393732,134.499635,89.247765
4.172000000005937,93.85812377929688,-5275928,-7684891,4739373,1437154,134.499635,89.24778
4.327999999994063,92.69137573242188,-5268274,-7690223,4831112,1532173,134.49966,89.24780000000001
4.485000000000582,84.59931945800781,-5246774,-7688100,4917298,1602534,134.49966,89.24779500000001
4.64100000000326,80.04484558105469,-5228141,-7676982,4985718,1703601,134.49967500000002,89.247825
4.797000000005937,75.22799682617188,-5222691,-7643100,5044323,1742404,134.49968,89.24784000000001
4.952999999994063,70.54949951171875,-5211484,-7617459,5141536,1809489,134.49969000000002,89.247865
5.110000000000582,65.89601135253906,-5188681,-7636236,5204019,1906916,134.49970000000002,89.24787
5.26600000000326,61.37239074707031,-5185897,-7622415,5273611,1961907,134.499705,89.24788500000001
5.422000000005937,56.543212890625,-5179054,-7605400,5355080,2058403,134.49971000000002,89.24789000000001
5.577999999994063,51.98539733886719,-5167535,-7574312,5443419,2168287,134.499715,89.24791
5.735000000000582,48.02166748046875,-5162707,-7576738,5507635,2206524,134.49973500000002,89.24792500000001
5.875,43.464019775390625,-5152996,-7567524,5593605,2289847,134.49973500000002,89.24793000000001
6.0310000000026776,40.16023254394531,-5148139,-7554161,5677056,2402492,134.49975,89.24793500000001
6.202999999994063,35.58305358886719,-5145139,-7523004,5753699,2483637,134.49976,89.247955
6.3439999999973224,31.18572998046875,-5150931,-7509823,5812276,2510363,134.49977,89.24797000000001
6.5,27.28070068359375,-5142098,-7518702,5889059,2572785,134.49976500000002,89.24797500000001
6.6560000000026776,23.7711181640625,-5117530,-7498894,5941756,2636097,134.49978000000002,89.24799
6.812999999994645,20.178756713867188,-5112152,-7490114,6018824,2671939,134.499795,89.248005
