Seconds,Load Cell,206 Ch1,206 Ch2,207 Ch1,207 Ch2,Actuator Enc,Mirror Enc
4.859000000011292,25.99090576171875,-71669,-147883,-56592,-189202,134.490775,89.23734
5.014999999999418,20.621109008789062,-50232,-106495,-53656,-171663,134.49079,89.23735
5.172000000005937,14.930419921875,-22692,-86643,-25364,-135430,134.4908,89.23737000000001
5.328000000008615,9.69830322265625,12932,-66356,-1404,-94101,134.490815,89.23738
5.484000000011292,3.6194610595703125,23560,-24721,5515,-58210,134.49082,89.23740500000001
5.639999999999418,-2.0902557373046875,47673,-26780,78018,-27347,134.490835,89.23741000000001
5.797000000005937,-8.620895385742188,57351,-51520,195288,37245,134.490845,89.23744500000001
5.953000000008615,-16.767684936523438,72044,-66656,296964,56517,134.49088,89.23745000000001
6.109000000011292,-25.047317504882812,138983,-120612,370903,125633,134.49088,89.23747
6.25,-32.39276123046875,174544,-186080,475377,147073,134.4909,89.23750500000001
6.4060000000026776,-39.43412780761719,198990,-201065,548640,175360,134.490915,89.23752
6.562000000005355,-45.254432678222656,210725,-217923,639022,207115,134.490925,89.23753500000001
6.718000000008033,-52.43634033203125,223708,-239089,751812,195161,134.490925,89.23755000000001
6.875,-58.40965270996094,276085,-267939,826944,252530,134.490945,89.237575
7.0310000000026776,-64.64788818359375,284476,-285954,901960,297766,134.490945,89.23759000000001
7.187000000005355,-69.50186920166016,280613,-331759,1003072,330397,134.49097,89.237615
7.343000000008033,-74.76089477539062,320503,-386950,1110069,365686,134.49097500000002,89.23763000000001
7.5,-80.9188232421875,316143,-404258,1162749,430311,134.49097500000002,89.237645
7.639999999999418,-86.84867095947266,334236,-398149,1215002,449404,134.49099,89.237665
7.797000000005937,-91.20065307617188,362834,-400298,1259924,499570,134.49099,89.23768500000001
7.953000000008615,-96.61976623535156,384478,-373323,1291601,504448,134.491015,89.2377
8.109000000011292,-101.51300048828125,421460,-370899,1343005,497255,134.491025,89.23772500000001
8.264999999999418,-106.102294921875,447376,-360657,1376333,546398,134.49104,89.23773000000001
8.422000000005937,-111.81159973144531,467644,-353475,1406847,588317,134.49105,89.237745
8.562000000005355,-116.96832275390625,483334,-343059,1442950,607507,134.49105500000002,89.23777000000001
8.718000000008033,-122.3630142211914,503592,-328059,1468605,644920,134.49106500000002,89.23777000000001
8.875,-127.95938110351562,509930,-299911,1516433,649144,134.491085,89.23780500000001
9.031000000002678,-132.7121124267578,534063,-266732,1561270,716691,134.49109,89.23780500000001
9.187000000005355,-137.9249267578125,548666,-238402,1589726,745951,134.491095,89.237825
9.359000000011292,-143.62411499023438,589937,-246178,1632518,781055,134.49111000000002,89.23785000000001
9.514999999999418,-148.63934326171875,631585,-233436,1664792,824052,134.49112000000002,89.23786000000001
9.672000000005937,-154.3877716064453,641504,-189230,1688720,858618,134.491135,89.23789500000001
9.828000000008615,-159.7327880859375,668045,-150783,1712478,908066,134.49114500000002,89.23791000000001
9.984000000011292,-165.51480102539062,694708,-131278,1759680,914242,134.49115500000002,89.237915
10.139999999999418,-170.2498779296875,704185,-110244,1780523,938914,134.49115,89.23794000000001
10.297000000005937,-176.41262817382812,727657,-83483,1802014,971304,134.491175,89.23795000000001
10.453000000008615,-181.17112731933594,744635,-65565,1832877,996649,134.491185,89.237975
10.609000000011292,-186.47137451171875,784598,-44600,1872238,1033695,134.49119000000002,89.23799500000001
10.75,-191.76983642578125,797485,-45541,1892503,1062550,134.491205,89.238015
10.906000000002678,-197.2967987060547,802816,-52742,1924885,1067375,134.491215,89.23802500000001
11.062000000005355,-201.66763305664062,814148,-41204,1952392,1090176,134.49122500000001,89.23804500000001
11.234000000011292,-207.75970458984375,846749,9143,1983145,1135445,134.49124500000002,89.238065
11.389999999999418,-212.83746337890625,880798,25403,2025926,1156980,134.49125500000002,89.23808500000001
11.531000000002678,-218.34036254882812,891386,24636,2065557,1197226,134.49125,89.2381
11.703000000008615,-223.65109252929688,924200,56817,2095412,1228957,134.49127000000001,89.23811
11.875,-229.89105224609375,935752,86151,2128160,1255808,134.491295,89.23814
12.031000000002678,-235.43594360351562,947691,98511,2162824,1283711,134.491295,89.23816000000001
12.187000000005355,-240.609130859375,981296,83667,2187628,1340706,134.49131500000001,89.23818000000001
12.343000000008033,-245.80633544921875,999838,96794,2210460,1370017,134.49131,89.238195
12.5,-251.24798583984375,1032220,121167,2232447,1413700,134.49133,89.23820500000001
12.656000000002678,-256.81048583984375,1075767,175364,2263241,1442616,134.49134500000002,89.23823
12.812000000005355,-262.0399475097656,1096390,212212,2298511,1465762,134.49134500000002,89.238245
12.968000000008033,-266.98406982421875,1096302,241665,2314634,1499781,134.49136000000001,89.23827000000001
13.109000000011292,-272.5055847167969,1111787,266647,2335766,1553922,134.49137000000002,89.23829500000001
13.264999999999418,-276.8580627441406,1119283,290837,2377369,1572813,134.49138000000002,89.23830500000001
13.422000000005937,-282.735595703125,1158480,309220,2412893,1571649,134.4914,89.23832
13.578000000008615,-287.2347106933594,1178044,337566,2434197,1593728,134.4914,89.238335
13.734000000011292,-293.12371826171875,1174162,359816,2456866,1641403,134.49140500000001,89.238375
13.889999999999418,-298.0445556640625,1197360,392043,2486398,1691243,134.49142,89.23838
14.047000000005937,-303.5939636230469,1206587,358251,2528785,1716445,134.49144,89.23840000000001
14.203000000008615,-308.6523132324219,1218138,383640,2553023,1742441,134.49145000000001,89.23839500000001
14.359000000011292,-313.83966064453125,1247195,431576,2583566,1784994,134.491465,89.23844000000001
14.514999999999418,-318.93243408203125,1275686,452019,2612796,1821387,134.49146000000002,89.23844500000001
14.687000000005355,-324.868896484375,1312359,454932,2653635,1844517,134.491485,89.23848000000001
14.843000000008033,-330.2071533203125,1341005,471477,2675178,1893594,134.491485,89.238495
15.0,-335.45355224609375,1338933,507100,2701130,1919110,134.49149,89.238515
15.156000000002678,-340.50128173828125,1375713,551089,2734008,1965951,134.49152500000002,89.238515
15.312000000005355,-345.5250244140625,1389683,564225,2763153,1997931,134.49151500000002,89.23855
15.468000000008033,-350.8201904296875,1419721,561541,2806943,2026846,134.49153,89.23856500000001
15.609000000011292,-356.2459411621094,1419781,582762,2832469,2060289,134.49154000000001,89.238585
15.764999999999418,-361.24951171875,1435350,588669,2861620,2108870,134.491555,89.238605
15.922000000005937,-366.40533447265625,1469135,568583,2887063,2139529,134.491575,89.23862500000001
16.078000000008615,-371.30560302734375,1503352,603661,2933639,2164658,134.491575,89.23864
16.234000000011292,-376.22845458984375,1519816,651380,2959640,2158455,134.49159,89.23866000000001
16.389999999999418,-381.54229736328125,1520306,663271,2984787,2198887,134.49159500000002,89.238675
16.547000000005937,-386.76849365234375,1534145,703880,3015140,2248735,134.49160500000002,89.238695
16.703000000008615,-391.730712890625,1566483,711493,3049870,2286215,134.4916,89.23871500000001
16.859000000011292,-396.7581787109375,1565932,759743,3079987,2348806,134.49163000000001,89.238725
17.031000000002678,-402.47991943359375,1574255,802938,3102357,2377855,134.49163000000001,89.23874500000001
17.203000000008615,-407.81689453125,1598504,790407,3125569,2402640,134.491655,89.238765
17.359000000011292,-413.14947509765625,1647189,801892,3177116,2396681,134.491655,89.23879500000001
17.514999999999418,-418.8540344238281,1686221,840849,3206626,2431210,134.49167,89.23880500000001
17.687000000005355,-423.5125732421875,1702012,875014,3233552,2479621,134.49168,89.23883500000001
17.843000000008033,-430.0223388671875,1724271,893439,3276555,2506856,134.4917,89.23886
18.0,-434.829345703125,1737482,907953,3308684,2538376,134.49170500000002,89.23888000000001
18.187000000005355,-439.23150634765625,1723881,950355,3299420,2545206,134.49171,89.23889000000001
18.343000000008033,-439.45220947265625,1737475,949531,3304461,2550661,134.49170500000002,89.23888000000001
