Seconds,Load Cell,206 Ch1,206 Ch2,207 Ch1,207 Ch2,Actuator Enc,Mirror Enc
0.14100000000325963,180.1749267578125,-365261,-982574,-777948,-1473176,134.490765,89.2373
0.2970000000059372,185.31784057617188,-369952,-1000997,-810844,-1519162,134.49076000000002,89.23727500000001
0.4529999999940628,190.8741455078125,-376826,-1016710,-842068,-1550693,134.49074000000002,89.23727000000001
0.6100000000005821,196.33099365234375,-370055,-1044405,-859116,-1604201,134.49073,89.237245
0.7660000000032596,200.91363525390625,-361393,-1065484,-905505,-1666571,134.49071,89.23722500000001
0.9220000000059372,206.71762084960938,-382214,-1088780,-933176,-1697883,134.49070500000002,89.23721
1.0779999999940628,211.523193359375,-391609,-1102064,-955210,-1731942,134.490685,89.2372
1.2189999999973224,216.74063110351562,-402777,-1138332,-980627,-1791561,134.490675,89.23718000000001
1.375,221.66253662109375,-402241,-1156066,-1003069,-1843111,134.490675,89.23716
1.5310000000026776,226.04718017578125,-419378,-1166481,-1049285,-1888323,134.490685,89.23713500000001
1.687999999994645,231.544921875,-443675,-1179680,-1091874,-1932722,134.49065000000002,89.23712
1.8439999999973224,236.23797607421875,-447912,-1202769,-1120259,-1968273,134.49064,89.237115
2.0,240.653564453125,-443527,-1249839,-1146754,-2022463,134.490635,89.23710000000001
2.1560000000026776,246.49459838867188,-455709,-1279004,-1185289,-2059585,134.49062,89.237065
2.312999999994645,251.60763549804688,-492153,-1298232,-1242845,-2099947,134.4906,89.23705500000001
2.4689999999973224,255.87197875976562,-501393,-1342776,-1267964,-2141261,134.49060500000002,89.23703
2.625,261.4299621582031,-495675,-1358644,-1274456,-2198626,134.49059,89.237025
2.7810000000026776,265.9667663574219,-509412,-1382112,-1320809,-2232728,134.490585,89.23700500000001
2.937999999994645,271.0293884277344,-518241,-1402834,-1345531,-2265742,134.490575,89.23699500000001
3.0939999999973224,276.24615478515625,-549064,-1411072,-1390344,-2307417,134.490565,89.23697000000001
3.25,281.5692138671875,-550840,-1446156,-1407284,-2361028,134.49056000000002,89.23695000000001
3.4060000000026776,286.7601013183594,-551334,-1477212,-1438398,-2418693,134.49054,89.236935
3.562999999994645,292.38482666015625,-562331,-1494268,-1460775,-2454051,134.49053,89.23692500000001
3.702999999994063,296.693115234375,-587833,-1509673,-1506679,-2481573,134.49053,89.23690500000001
3.860000000000582,301.5540771484375,-601436,-1519554,-1545267,-2524280,134.49051500000002,89.23689
4.01600000000326,306.5782775878906,-629586,-1535143,-1568960,-2557820,134.4905,89.236855
4.172000000005937,311.83306884765625,-631936,-1560916,-1594386,-2609327,134.490485,89.236845
4.327999999994063,316.4372253417969,-647315,-1578757,-1644255,-2645542,134.49048000000002,89.23683500000001
4.485000000000582,321.2919006347656,-655122,-1600512,-1667392,-2663569,134.49048000000002,89.236805
4.64100000000326,327.03118896484375,-665287,-1624215,-1700904,-2709510,134.490465,89.23678500000001
4.797000000005937,332.0678405761719,-687512,-1645654,-1731241,-2770371,134.490455,89.236765
4.9689999999973224,338.37237548828125,-704246,-1674499,-1776843,-2814997,134.49045,89.236755
5.14100000000326,343.89208984375,-742714,-1688043,-1799855,-2873171,134.49043,89.23673000000001
5.312999999994645,349.71722412109375,-750004,-1725373,-1824494,-2903735,134.49042,89.236715
5.485000000000582,354.81060791015625,-759124,-1742719,-1843477,-2946718,134.490415,89.23669500000001
5.64100000000326,359.1863708496094,-773533,-1755928,-1899697,-2975879,134.49040000000002,89.236675
5.797000000005937,365.03314208984375,-788507,-1777520,-1931953,-3019170,134.49038000000002,89.23665500000001
5.952999999994063,370.1011657714844,-795711,-1805033,-1953622,-3070191,134.490365,89.23664000000001
6.125,375.5224914550781,-811798,-1809902,-2002706,-3109993,134.49035,89.23662
6.2810000000026776,380.26568603515625,-836852,-1830888,-2034108,-3142269,134.49035,89.23660000000001
6.437999999994645,385.5767517089844,-854625,-1847580,-2063459,-3190473,134.49033500000002,89.23659
6.5939999999973224,390.18292236328125,-860795,-1873621,-2094501,-3240305,134.490325,89.23656500000001
6.75,395.4066467285156,-883576,-1889689,-2136155,-3267901,134.490325,89.23655000000001
6.9060000000026776,401.20526123046875,-890181,-1906640,-2163828,-3308273,134.490315,89.23652000000001
7.062999999994645,406.0847473144531,-907511,-1930486,-2203847,-3338882,134.49029000000002,89.23650500000001
7.2189999999973224,411.0822448730469,-918174,-1950989,-2231083,-3389290,134.490295,89.23649
7.375,416.1061096191406,-929392,-1965205,-2272642,-3423985,134.490275,89.23647500000001
7.5310000000026776,421.0829162597656,-954969,-1978214,-2315090,-3460475,134.49026500000002,89.236455
7.687999999994645,426.0013122558594,-966909,-1999100,-2349080,-3518781,134.49025500000002,89.23644
7.8439999999973224,431.5257263183594,-965259,-2016474,-2380636,-3574032,134.49024500000002,89.23642000000001
8.0,436.1755676269531,-978092,-2025355,-2410749,-3604538,134.49024,89.23641
8.172000000005937,441.8469543457031,-994965,-2035375,-2435771,-3625563,134.490215,89.23638500000001
8.327999999994063,443.8357849121094,-992278,-2029973,-2439583,-3631994,134.49022000000002,89.23637500000001
8.485000000000582,443.4444885253906,-980940,-2028724,-2432316,-3631799,134.490215,89.23637000000001
8.64100000000326,442.8382873535156,-986356,-2031007,-2425866,-3627590,134.490225,89.23637000000001
8.797000000005937,442.0807800292969,-980183,-2029771,-2424167,-3629388,134.49023,89.23637500000001
8.968999999997322,441.6794738769531,-977913,-2021544,-2424541,-3623852,134.490215,89.23637500000001
9.110000000000582,440.9609680175781,-967857,-2029846,-2407219,-3627314,134.49023,89.23638500000001
